Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D31,WS2812B-2020,WS2812B2020,75.8438,-159.47,0.0,top
D32,WS2812B-2020,WS2812B2020,108.199,-154.7412,180.0,top
D33,LED,LED_0402_1005Metric,57.99,-130.94,45.0,top
D34,LED,LED_0805_2012Metric,86.2,-138.862499,90.0,top
D35,LED,LED_0805_2012Metric,112.0,-135.362499,90.0,top
D36,WS2812B-2020,WS2812B2020,103.514,-154.7412,180.0,top
D37,BAT54SW,SOT-323_SC-70,65.13,-139.73,-90.0,top
D38,BAT54SW,SOT-323_SC-70,68.39,-115.88,90.0,bottom
D39,BAT54SW,SOT-323_SC-70,72.86,-123.22,0.0,top
D4,BAT54SW,SOT-323_SC-70,46.88,-148.01,0.0,top
D40,BAT54SW,SOT-323_SC-70,72.9,-126.29,180.0,top
D41,SZMM5Z3V9,D_SOD-523,40.61,-98.89,0.0,bottom
D42,SZMM5Z3V9,D_SOD-523,42.41,-90.17,0.0,bottom
D43,SZMM5Z3V9,D_SOD-523,62.738,-90.678,180.0,bottom
D44,SZMM5Z3V9,D_SOD-523,39.75,-101.58,0.0,bottom
D45,SZMM5Z3V9,D_SOD-523,67.31,-86.868,270.0,bottom
D46,SZMM5Z3V9,D_SOD-523,59.436,-96.012,180.0,bottom
D47,SZMM5Z3V9,D_SOD-523,79.248,-111.506,45.0,bottom
D48,SZMM5Z3V9,D_SOD-523,78.232,-112.522,45.0,bottom
D49,SZMM5Z3V9,D_SOD-523,75.65,-123.35,-90.0,top
D5,BAT54SW,SOT-323_SC-70,41.25,-105.9,90.0,bottom
D50,SZMM5Z3V9,D_SOD-523,75.63,-126.39,-90.0,top
D51,SMC_TVS_28V,D_SMC,22.3012,-98.0948,0.0,top
D52,D_TVS,D_SMC,82.24,-128.43,180.0,top
D53,1N4448WS,D_SOD-323,101.11,-144.68,180.0,top
D54,1N4448WS,D_SOD-323,102.1,-137.35,-90.0,top
D55,TSD05,D_SOD-323,57.4,-56.15,90.0,bottom
D56,TSD05,D_SOD-323,55.45,-56.15,90.0,bottom
D57,TSD05,D_SOD-323,53.5,-56.15,90.0,bottom
D58,TSD05,D_SOD-323,51.55,-56.15,90.0,bottom
D59,TSD05,D_SOD-323,49.6,-56.15,90.0,bottom
D6,BAT54SW,SOT-323_SC-70,55.7,-109.1,-90.0,top
D60,TSD05,D_SOD-323,47.65,-56.15,90.0,bottom
D61,TSD05,D_SOD-323,45.7,-56.15,90.0,bottom
D62,TSD05,D_SOD-323,43.75,-56.15,90.0,bottom
D63,SZMM5Z5V3,D_SOD-523,24.1675,-110.14,0.0,bottom
D64,SZMM5Z5V3,D_SOD-523,27.56,-110.12,0.0,bottom
D65,SZMM5Z5V3,D_SOD-523,31.55,-110.12,0.0,bottom
D66,SZMM5Z5V3,D_SOD-523,34.85,-110.12,0.0,bottom
D67,SZMM5Z3V9,D_SOD-523,68.4,-113.31,180.0,bottom
D68,12V,D_SOD-323,66.09,-62.58,0.0,bottom
D69,SZMM5Z3V9,D_SOD-523,65.25,-142.32,180.0,top
D7,BAT54SW,SOT-323_SC-70,57.4,-105.7,90.0,top
D8,BAT54SW,SOT-323_SC-70,69.125,-110.125,90.0,bottom
D9,BAT54SW,SOT-323_SC-70,66.35,-110.875,90.0,bottom
F1,2A,Fuse_1206_3216Metric,77.04,-132.97,180.0,top
F10,7A,Fuse_1206_3216Metric,82.2452,-98.5744,90.0,bottom
F11,7A,Fuse_1206_3216Metric,86.193945,-98.577373,90.0,bottom
F12,7A,Fuse_1206_3216Metric,90.156345,-98.535773,90.0,bottom
F13,7A,Fuse_1206_3216Metric,94.1324,-98.5236,90.0,bottom
F14,7A,Fuse_1206_3216Metric,102.743,-98.679,90.0,bottom
F15,7A,Fuse_1206_3216Metric,106.76,-98.679,90.0,bottom
F16,7A,Fuse_1206_3216Metric,110.697,-98.682,90.0,bottom
F17,7A,Fuse_1206_3216Metric,114.808,-98.676,90.0,bottom
F18,100mA,Fuse_0805_2012Metric,108.85,-133.238529,-90.0,top
F19,100mA,Fuse_0805_2012Metric,115.046617,-57.573,0.0,top
F2,100mA,Fuse_0805_2012Metric,109.749011,-57.573,0.0,top
F20,2A,Fuse_0805_2012Metric,78.9065,-137.4539,-90.0,top
F21,Fuse,Fuse_1206_3216Metric,95.504,-73.8632,90.0,top
F22,Fuse,Fuse_1206_3216Metric,107.5944,-73.8124,90.0,top
F23,100mA,Fuse_0805_2012Metric,100.2,-151.5,90.0,top
F3,3A,Fuse_0805_2012Metric,105.2,-58.0,0.0,top
F4,Fuse,Fuse_1206_3216Metric,35.1028,-73.8124,90.0,top
F5,Fuse,Fuse_1206_3216Metric,47.244,-73.8124,90.0,top
F6,Fuse,Fuse_1206_3216Metric,59.2836,-73.8124,90.0,top
F7,Fuse,Fuse_1206_3216Metric,23.0632,-73.8124,90.0,top
F8,Fuse,Fuse_1206_3216Metric,71.374,-73.8124,90.0,top
F9,Fuse,Fuse_1206_3216Metric,83.4644,-73.8124,90.0,top
FB1,742792063,L_0805_2012Metric,82.6175,-134.22,180.0,top
IC1,BD50FD0WHFP-TR,BD50FD0WHFPTR,109.5776,-146.2844,-90.0,top
IC10,LDO40LPU50RY,SON95P300X300X90-7N-D,105.6546,-133.543528,0.0,top
IC12,TMP126NDCKR,SOT65P210X110-6N,47.803809,-153.532,0.0,top
IC14,LDO40LPU50RY,SON95P300X300X90-7N-D,115.155617,-60.7604,90.0,top
IC15,ASM330LHHTR,LGA-14_2.5X3X0.86_,24.2,-139.3,-45.0,top
IC16,BTS722204ESAXUMA1,SOP65P600X115-25N,108.779889,-116.872455,90.0,top
IC17,TS5A21366DCUR,SOP50P310X90-8N,48.4632,-105.4608,180.0,top
IC19,STM32L496ZGT6,QFP50P2200X2200X160-144N,41.394411,-133.27467,-135.0,top
IC2,74HC4067PW-Q100J,SOP65P640X110-24N,68.825,-115.417167,0.0,top
IC20,AT25SF128A-SHB-T,SOIC127P798X216-8N,25.985,-123.255,180.0,top
IC3,LDO40LPU33RY,SON95P300X300X90-7N-D,109.858011,-60.7604,90.0,top
IC7,BTS722204ESAXUMA1,SOP65P600X115-25N,88.213,-116.894,90.0,top
J1,DBG,Molex_PicoBlade_53047-0710_1x07_P1.25mm_Vertical,23.114,-147.1604,0.0,top
J2,6473427-1,64734271,67.818,-59.6355,180.0,top
J3,7461383,7461383,67.64,-100.44,0.0,top
J4,AUX,PinHeader_2x04_P1.00mm_Vertical_SMD,22.023354,-116.86,0.0,top
J5,SAFETY,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,91.6124,-155.3484,0.0,top
J6,2305018-2,TE_2305018-2,30.48,-159.6638,0.0,top
J7,Conn_01x03_Pin,PinHeader_1x03_P2.00mm_Vertical,20.1,-109.0,0.0,top
L1,2u7 120m,L_0603_1608Metric,43.4,-124.36,315.0,bottom
L2,742792063,L_0805_2012Metric,69.93,-131.76,-90.0,top
L3,120uH / 3A,L_6.3x6.3_H3,91.06,-134.78,180.0,top
L4,XEL4020-102MEB,L_Coilcraft_XxL4020,70.38,-141.27,90.0,top
L5,2.2uH,L_Vishay_IHLP-1616,78.8325,-142.2675,90.0,top
Q1,Si2319CDS,SOT-23,75.16,-129.74,-90.0,top
Q10,BTS500101LUAAUMA1,BTS500101LUAAUMA1,109.982,-83.8116,180.0,top
Q11,AO3401A,SOT-23,116.7,-67.4,-90.0,top
Q2,RJU002N06FRAT106,SOT65P210X110-3N,97.4,-151.72,90.0,top
Q3,BTS500101LUAAUMA1,BTS500101LUAAUMA1,25.4508,-83.8108,180.0,top
Q4,BTS500101LUAAUMA1,BTS500101LUAAUMA1,37.5158,-83.8108,180.0,top
Q5,BTS500101LUAAUMA1,BTS500101LUAAUMA1,49.6062,-83.8116,180.0,top
